"ParentPartNumber","Name","Price"
"100000038","Lexmark 200XL  High Yield Ink Cartridge Magenta","35.49"
"100000040","Nine Stars 13.2 & 3.2 Gallon Touchless Motion Sensor Trash Can Set","74.99"
"100000042","Lifetime® Double Slide Deluxe Playset - Do It Yourself","2,599.99"
"100000106","Round Brilliant 0.25 ctw VS2 Clarity, I Color Diamond 14kt White Gold 1/2 Inch Hoop Earrings","679.99"
"100002577","Micro Flannel® Cal King Sheet Set","59.99"
"100157312","Pacific Coast® European Manor Year Round Warmth Hungarian Down Comforter","159.99"
"100000126","Lexmark 200XL High Yield Ink Cartridge Yellow","35.49"
"100002592","Innovera 19-20"" Widescreen Antiglare Frameless Monitor Filter LCD Monitor ","55.89"
"100157315","Pacific Coast® European Manor Light Warmth Hungarian Down Comforter","149.99"
"100000184","Lexmark 200XL High Yield Ink Cartridge Cyan","35.49"
"100002721","Lighting by Pecaso Tuscana Gold Chandelier","599.99"
"100018967","Costco Copy Paper, Letter, 92-Bright, 200 Case/5 Pallet Pricing","28.49"
"100157317","Pacific Coast® Down Channel Feather/Down Pillow 2-Pack","44.99"
"100000196","Avery 5-1/2"" x 8-1/2"" Mini Filler Paper, White College Ruled, 100 Sheets","2.89"
"100003050","Contempo Lateral File","239.99"
"100002739","Nu-Dell Horizontal Wall Sign Holder 8 1/2 x 11 Clear","9.69"
"100096584","Chelsea 24"" Swivel Barstool","179.99"
"100291723","Microsoft Office Home and Student 2016, Product Key Card","124.99"
"100018968","Advantus 75338 Fabric Panel Wall Clips Assorted Colors, 20 ct","6.89"
"100157913","Spa Sonic Pro 8-piece Facial Cleansing System","59.99"
"100157327","Pacific Coast® European Manor Extra Warmth Hungarian Down Comforter","169.99"
"100000213","Simmons Kids Tranquil Nights 2 in 1 Organic Crib Mattress","229.99"
"100003177","THRIVE® 8,600 Total Servings 1 Person 1 year Food Storage","1,499.99"
"100002814","Cream Sideless Sheepskin Seat Cover","79.99"
"100006098","Peet's Coffee & Tea Five $20 Gift Cards","79.99"
"100096588","Alero 30"" Swivel Barstool","149.99"
"100291730","Office 365 Home - 5 PCs or Macs 2 Pack, Product Key Card, two 1-year Subscriptions","159.99"
"100309124","Hirsh 25"" 4-Drawer Vertical File 3-pack, Black","549.99"
"100018972","Avery® Full Face CD Inkjet Labels Matte White 40ct ","13.19"
"100158060","HP 980 (D8J08A) Ink Cartridge Magenta","93.79"
"100157475","Freshwater 4-10mm Pearl 14ke Yellow Gold Drop Earrings","149.99"
"100000227","Tekk Trainer Multi-Sport Pro Trainer with Bonus Target Net","279.99"
"100003194","Lysol® Toilet Bowl Cleaner 32oz 4ct","9.99"
"100003994","Sleep Science Black Diamond 11"" Cal King Memory Foam Mattress","1,149.99"
"100002828","Nu-Dell Vertical Wall Sign Holder 8 1/2 x 11 Clear","9.69"
"100006112","Nara Bamboo Lingerie Chest","1,099.99"
"100096589","Morgan 24"" Swivel Barstool","169.99"
"100291738","9' LED Solar Market Umbrella by Seasons Sentry","269.99"
"100309127","Hirsh 36"" 4-Drawer Lateral File 2-pack, Black","749.99"
"100018977","Avery Slide & Lift Hanging File Folder 1/3 Cut Green 12ct AVE 73505","18.39"
"100019517","HON Volt Series Bonded Leather Synchro-Tilt Task Chair - Black","148.99"
"100158078","HP 980 (D8J09A) Ink Cartridge Yellow","93.79"
"100157477","Popcornopolis 2-Gallon Valentine Gourmet Popcorn Party Tin: Zebra® Popcorn","29.99"
"100170447","Pure Blue H2O 5PC Reverse Osmosis Filter System Replacement Filters","49.99"
"100320537","Daniele Inc. Gourmet on the Go Snack Packs 12-pack","69.99"
"100000255","Jura Impressa S9 One-touch Classic Automatic Coffee Center","1,599.99"
"100097109","Rylie Fabric Sectional Living Room Set","1,299.99"
"100003199","Lysol® Disinfectant Spray Crisp Linen Scent 4/19 oz","17.99"
"100003995","Paxton 6-piece Cal King Storage Bedroom Set","2,799.99"
"100002831","Gray Sideless Sheepskin Seat Cover","79.99"
"100006172","Aleve Pain Reliever, 320 Caplets","16.49"
"100096601","Alero 24"" Swivel Barstool","149.99"
"100003451","Austin Worklife Office Combo File","849.99"
"100290193","Kirkland Signature Men’s Tailored Fit Dress Shirt, Blue Herringbone Stripe","17.99"
"100291751","Ancona Glass Canopy 30"" Wall Mount Range Hood","269.99"
"100309128","Hirsh 36"" 4-Drawer Lateral File 2-pack, Putty","749.99"
"100018978","Spectrum Standard 92 Multipurpose Paper, Letter, 92-Bright, 840 Case/Truckload Pricing ","23.99"
"100019538","HON Lota Series Mesh Mid-Back Chair ","266.99"
"100291903","Carter’s Infant 4-piece Layette Gift Set","14.99"
"100237869","Cam-O-Bunk XL Portable Cot Bundle","319.99"
"100158080","HP 980 (D8J10A) Ink Cartridge Black","109.99"
"100157489","Princess Cut 1.50 ctw VS2 Clarity, I Color Diamond 14kt White Gold Invisible Set Stud Earrings","1,999.99"
"100158259","David’s Cookies Chocolate Caramel Pecan Cheesecake & Triple Chocolate Cheesecake Combo","46.99"
"11223011","Post-it Self-Stick Notes, 3-in. x 3-in., Canary Yellow, 18ct ","11.99"
